Background/Introduction_Agent,What is the agent?
Background/Introduction_Primaryobject,What is the primary object?
Background/Introduction_Secondaryobject,What is the secondary object?
Background/Introduction_Context,What are the contexts?
Background/Introduction_Purpose,What are the purposes?
Background/Introduction_Method,What are the methods?
Background/Introduction_Results,What are the results?
Background/Introduction_Analysis,What are the analyses?
Background/Introduction_Challenge,What are the challenges?
Background/Introduction_Ethical,What are the ethical considerations?
Background/Introduction_Implications,What are the implications?
Background/Introduction_Contradictions,What are the contradictions?
Methods/Approach_Agent,What is the agent?
Methods/Approach_Primaryobject,What is the primary object?
Methods/Approach_Secondaryobject,What is the secondary object?
Methods/Approach_Context,What are the contexts?
Methods/Approach_Purpose,What are the purposes?
Methods/Approach_Method,What are the methods?
Methods/Approach_Results,What are the results?
Methods/Approach_Analysis,What are the analyses?
Methods/Approach_Challenge,What are the challenges?
Methods/Approach_Ethical,What are the ethical considerations?
Methods/Approach_Implications,What are the implications?
Methods/Approach_Contradictions,What are the contradictions?
Results/Findings_Agent,What is the agent?
Results/Findings_Primaryobject,What is the primary object?
Results/Findings_Secondaryobject,What is the secondary object?
Results/Findings_Context,What are the contexts?
Results/Findings_Purpose,What are the purposes?
Results/Findings_Method,What are the methods?
Results/Findings_Results,What are the results?
Results/Findings_Analysis,What are the analyses?
Results/Findings_Challenge,What are the challenges?
Results/Findings_Ethical,What are the ethical considerations?
Results/Findings_Implications,What are the implications?
Results/Findings_Contradictions,What are the contradictions?
Conclusions/Implications_Agent,What is the agent?
Conclusions/Implications_Primaryobject,What is the primary object?
Conclusions/Implications_Secondaryobject,What is the secondary object?
Conclusions/Implications_Context,What are the contexts?
Conclusions/Implications_Purpose,What are the purposes?
Conclusions/Implications_Method,What are the methods?
Conclusions/Implications_Results,What are the results?
Conclusions/Implications_Analysis,What are the analyses?
Conclusions/Implications_Challenge,What are the challenges?
Conclusions/Implications_Ethical,What are the ethical considerations?
Conclusions/Implications_Implications,What are the implications?
Conclusions/Implications_Contradictions,What are the contradictions?
